year,count,country
1970,192,China
1971,856,China
1972,294,China
1973,208,China
1974,99,China
1975,113,China
1976,117,China
1977,31,China
1978,70,China
1979,195,China
1980,144,China
1981,139,China
1982,95,China
1983,156,China
1984,109,China
1985,47,China
1986,32,China
1987,55,China
1988,30,China
1989,53,China
1990,27,China
1991,38,China
1992,40,China
1993,61,China
1994,86,China
1995,84,China
1996,93,China
1997,86,China
1998,78,China
1999,108,China
2000,90,China
2001,114,China
2002,90,China
2003,75,China
2004,95,China
2005,55,China
2006,57,China
2007,51,China
2008,72,China
2009,49,China
2010,51,China
2011,38,China
2012,60,China
2013,56,China
2014,84,China
2015,74,China
1970,208,Russia
1971,225,Russia
1972,325,Russia
1973,282,Russia
1974,210,Russia
1975,204,Russia
1976,162,Russia
1977,208,Russia
1978,158,Russia
1979,173,Russia
1980,373,Russia
1981,343,Russia
1982,256,Russia
1983,501,Russia
1984,355,Russia
1985,320,Russia
1986,325,Russia
1987,360,Russia
1988,310,Russia
1989,281,Russia
1990,194,Russia
1991,363,Russia
1992,233,Russia
1993,261,Russia
1994,160,Russia
1995,78,Russia
1996,65,Russia
1997,62,Russia
1998,75,Russia
1999,62,Russia
2000,37,Russia
2001,30,Russia
2002,52,Russia
2003,34,Russia
2004,89,Russia
2005,11,Russia
2006,36,Russia
2007,30,Russia
2008,44,Russia
2009,40,Russia
2010,72,Russia
2011,36,Russia
2012,57,Russia
2013,121,Russia
2014,119,Russia
2015,106,Russia
1970,1885,USA
1971,3219,USA
1972,3129,USA
1973,3183,USA
1974,3046,USA
1975,2929,USA
1976,3164,USA
1977,3306,USA
1978,3358,USA
1979,3636,USA
1980,3960,USA
1981,3905,USA
1982,3934,USA
1983,4359,USA
1984,4535,USA
1985,3661,USA
1986,3638,USA
1987,3729,USA
1988,3629,USA
1989,3644,USA
1990,3053,USA
1991,3169,USA
1992,2808,USA
1993,3071,USA
1994,3173,USA
1995,2762,USA
1996,2843,USA
1997,2847,USA
1998,2774,USA
1999,2843,USA
2000,2404,USA
2001,2446,USA
2002,2173,USA
2003,2139,USA
2004,2088,USA
2005,1678,USA
2006,1910,USA
2007,1882,USA
2008,2045,USA
2009,2394,USA
2010,2126,USA
2011,2176,USA
2012,2462,USA
2013,2291,USA
2014,2124,USA
2015,2256,USA
1970,125,UK
1971,203,UK
1972,266,UK
1973,230,UK
1974,372,UK
1975,253,UK
1976,235,UK
1977,244,UK
1978,245,UK
1979,220,UK
1980,143,UK
1981,167,UK
1982,270,UK
1983,184,UK
1984,181,UK
1985,238,UK
1986,172,UK
1987,178,UK
1988,136,UK
1989,208,UK
1990,130,UK
1991,219,UK
1992,204,UK
1993,271,UK
1994,218,UK
1995,198,UK
1996,223,UK
1997,313,UK
1998,288,UK
1999,296,UK
2000,192,UK
2001,184,UK
2002,163,UK
2003,116,UK
2004,152,UK
2005,151,UK
2006,187,UK
2007,185,UK
2008,169,UK
2009,186,UK
2010,203,UK
2011,242,UK
2012,276,UK
2013,266,UK
2014,420,UK
2015,282,UK
1970,32,France
1971,82,France
1972,45,France
1973,64,France
1974,34,France
1975,74,France
1976,94,France
1977,100,France
1978,39,France
1979,76,France
1980,26,France
1981,67,France
1982,41,France
1983,74,France
1984,67,France
1985,77,France
1986,80,France
1987,93,France
1988,40,France
1989,76,France
1990,57,France
1991,60,France
1992,49,France
1993,48,France
1994,54,France
1995,107,France
1996,70,France
1997,35,France
1998,32,France
1999,29,France
2000,40,France
2001,23,France
2002,12,France
2003,19,France
2004,38,France
2005,28,France
2006,40,France
2007,30,France
2008,71,France
2009,40,France
2010,31,France
2011,34,France
2012,27,France
2013,57,France
2014,76,France
2015,64,France
